DOCTNMBR,ACCDDATE,NTFYHOUR,COUNTY,MUNICIPALITY,MUNITYPE,ONHWYRP,ONHWYDIR,ONHWY,ONSTR,ATHWY,ATSTR,INTDIR,INTDIS,ACCDSVR,INJSVR,TOTFATL,TOTINJ,ACCDTYPE,MNRCOLL,ACCDLOC,HWYCLASS,CONSZONE,ALCFLAG,BIKEFLAG,CYCLFLAG,PEDFLAG,TOTVEH,LATDECDG,LONDECDG,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,tract_id
FT46PJT,4/30/2014,17,MILWAUKEE,BROWN DEER,V,57.0,S,57,GREEN BAY RD,,DEERWOOD DR N,S,0,INJ,C,0,1,PED,ANGL,I,U STH,,,,,Y,1,43.182794,-87.9633794,POINT (-87.9633794 43.182794),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
FT58K2R,9/19/2016,16,MILWAUKEE,BROWN DEER,V,100.0,N,100,BROWN DEER RD,,PARK PLAZA CT,W,6,INJ,B,0,1,PED,ANGL,N,U STH,,,,,Y,1,43.1777633,-87.993237,POINT (-87.993237 43.1777633),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
FT4VPJ2,10/7/2014,16,MILWAUKEE,BROWN DEER,V,100.0,N,100,BROWN DEER RD,,N 55TH ST, ,0,INJ,C,0,1,PED,ANGL,I,U STH,,,,,Y,1,43.1776423,-87.9793884,POINT (-87.9793884 43.1776423),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL17W13BL,11/12/2018,17,MILWAUKEE,BROWN DEER,V,100.0,S,100,BROWN DEER RD,,N 60TH ST,N,6,INJ,C,0,1,PED,NO,I,U STH,,,,,Y,1,43.177791,-87.984666,POINT (-87.984666 43.177791),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL0245WRP,5/22/2017,15,MILWAUKEE,BROWN DEER,V,100.0,S,,N 60TH ST,100,,,0,INJ,C,0,1,,NO,I,U CITY,,,,,Y,1,43.177787,-87.984551,POINT (-87.984551 43.177787),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
FT3H72Q,12/29/2010,17,MILWAUKEE,BROWN DEER,V,100.0,S,100,BROWN DEER RD,,64TH ST N,E,8,INJ,A,0,2,PED,NO,N,U STH,,,,,Y,1,43.1777142,-87.988065,POINT (-87.988065 43.1777142),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
A350492,3/9/2010,8,MILWAUKEE,BROWN DEER,V,100.0,S,,N 55TH ST,100,W BROWN DEER RD,S,0,INJ,C,0,1,PED,NO,I,U CITY,,,,,Y,1,43.1776423,-87.9793884,POINT (-87.9793884 43.1776423),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL04HS27R,4/11/2023,18,MILWAUKEE,BROWN DEER,V,,,100,BROWN DEER RD,,N 60TH ST,E,0,FAT,K,1,0,PED,BLNK,I,U STH,,,,,Y,1,43.177602,-87.984493,POINT (-87.984493 43.177602),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL038QXWH,1/15/2018,10,MILWAUKEE,BROWN DEER,V,,,G,N SHERMAN BLVD,,W BRADLEY RD,,0,INJ,C,0,1,,NO,I,U CITY,,,,,Y,1,43.163142,-87.964835,POINT (-87.964835 43.163142),25.0,55,079,050104,55079050104,1400000US55079050104,501.04,Census Tract 501.04,G5020,S,3045801.0,0.0,+43.1609816,-087.9667337,050104
FT3QM9Z,1/24/2012,15,MILWAUKEE,BROWN DEER,V,,,,60TH ST N,,FAIRLANE AVE W, ,0,INJ,B,0,1,PED,NO,I,U CITY,,,,,Y,1,43.1681082,-87.9847361,POINT (-87.9847361 43.1681082),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
FT3QM9S,1/6/2012,7,MILWAUKEE,BROWN DEER,V,,,,60TH ST N,,TOWER AVE W, ,0,INJ,A,0,1,,ANGL,I,U CITY,,,,,Y,1,43.166254,-87.984771,POINT (-87.984771 43.166254),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
FT3GGW4,12/12/2012,14,MILWAUKEE,BROWN DEER,V,,,,CARLOTTA LN N,,SILVERLEAF LN W,S,1,INJ,A,0,1,PED,NO,N,U CITY,,,,,Y,1,43.1870338,-87.9790752,POINT (-87.9790752 43.1870338),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
FT4VPJQ,8/5/2015,17,MILWAUKEE,BROWN DEER,V,,,,CTH G N SHERMAN BLVD,,W BRADLEY RD, ,0,INJ,B,0,1,PED,NO,I,U CITY,,,,,Y,1,43.1631424,-87.9648348,POINT (-87.9648348 43.1631424),25.0,55,079,050104,55079050104,1400000US55079050104,501.04,Census Tract 501.04,G5020,S,3045801.0,0.0,+43.1609816,-087.9667337,050104
FT4572S,5/28/2013,15,MILWAUKEE,BROWN DEER,V,,,,DEAN RD W,,60TH ST N,E,4,INJ,A,0,1,PED,NO,N,U CITY,,,,,Y,1,43.1703844,-87.9839017,POINT (-87.9839017 43.1703844),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
A259998,11/24/2009,15,MILWAUKEE,BROWN DEER,V,,,,N 60 ST,,W TOWER AVE,S,1,INJ,B,0,1,PED,NO,I,U CITY,,,,,Y,1,43.1661098,-87.9847738,POINT (-87.9847738 43.1661098),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL0368VN6,5/9/2018,7,MILWAUKEE,BROWN DEER,V,,,,N 60TH ST,,W TOWER AVE,N,1,INJ,B,0,1,PED,ANGL,N,U CITY,,,,,Y,1,43.166407,-87.984709,POINT (-87.984709 43.166407),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL0351TK1,3/28/2019,16,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,100,BROWN DEER RD,,0,INJ,B,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.178694,-87.986795,POINT (-87.986795 43.178694),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL0368VND,7/16/2019,16,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,100,BROWN DEER RD,,0,INJ,C,0,1,OBNFX,BLNK,PL,U CITY,,,,,Y,1,43.17847,-87.98798,POINT (-87.98798 43.17847),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL0351TK4,9/12/2019,20,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,100,BROWN DEER RD,,0,INJ,B,0,1,,NO,PL,U CITY,,,,,Y,1,43.178512,-87.987735,POINT (-87.987735 43.178512),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL02QPGFW,11/5/2018,9,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,100,BROWN DEER RD,,0,INJ,C,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.178833,-87.987789,POINT (-87.987789 43.178833),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL0QJJ8XF,8/31/2023,12,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,100,,,0,INJ,C,0,1,,BLNK,PL,U CITY,,,,,Y,1,43.179005,-87.987036,POINT (-87.987036 43.179005),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL17W13DR,8/24/2020,17,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,BROWN DEER RD,,0,INJ,B,0,1,,BLNK,PL,U CITY,,,,,Y,1,43.178453,-87.988102,POINT (-87.988102 43.178453),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL18WW13J,6/29/2019,11,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,N 60TH ST,,0,INJ,B,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.167092,-87.983376,POINT (-87.983376 43.167092),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL04HS270,12/3/2021,1,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,W BRADLEY RD,,0,INJ,B,0,1,PK VEH,BLNK,PL,U CITY,,Y,,,Y,2,43.162757,-87.970465,POINT (-87.970465 43.162757),25.0,55,079,050104,55079050104,1400000US55079050104,501.04,Census Tract 501.04,G5020,S,3045801.0,0.0,+43.1609816,-087.9667337,050104
5HL0351TJV,3/16/2017,17,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,W BROWN DEER RD SERVICE DR,,0,INJ,C,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.178457,-87.988138,POINT (-87.988138 43.178457),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL05VJ8WR,3/25/2022,15,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,W DEAN RD,,0,INJ,B,0,1,PED,BLNK,PL,U CITY,,,,,Y,1,43.170056,-87.983332,POINT (-87.983332 43.170056),68.0,55,079,050101,55079050101,1400000US55079050101,501.01,Census Tract 501.01,G5020,S,4896027.0,0.0,+43.1768173,-087.9849329,050101
5HL18WW15G,6/14/2021,13,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,W SCHROEDER DR,,0,INJ,C,0,1,PED,BLNK,PL,U CITY,,,,,Y,1,43.184345,-87.960172,POINT (-87.960172 43.184345),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
5HL12XVN0Z,2/3/2018,13,MILWAUKEE,BROWN DEER,V,,,,PARKING LOT,,W SCHROEDER DR,,0,INJ,B,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.184871,-87.960651,POINT (-87.960651 43.184871),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
5HL05VJ8WD,1/13/2022,16,MILWAUKEE,BROWN DEER,V,,,,PRIVATE PROPERTY,G,N SHERMAN BLVD,,0,INJ,A,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.162548,-87.965365,POINT (-87.965365 43.162548),25.0,55,079,050104,55079050104,1400000US55079050104,501.04,Census Tract 501.04,G5020,S,3045801.0,0.0,+43.1609816,-087.9667337,050104
FT52MBB,6/5/2016,17,MILWAUKEE,BROWN DEER,V,,,,W BRADLEY RD,,N 51ST ST, ,0,INJ,B,0,1,OTH NC,NO,I,U CITY,,,,,Y,1,43.1631353,-87.974857,POINT (-87.974857 43.1631353),25.0,55,079,050104,55079050104,1400000US55079050104,501.04,Census Tract 501.04,G5020,S,3045801.0,0.0,+43.1609816,-087.9667337,050104
5HL17TS27C,11/7/2018,12,MILWAUKEE,BROWN DEER,V,,,,W SCHROEDER DR,,N GREEN BAY RD SERVICE DR (1),E,7,INJ,C,0,1,PED,NO,PL,U CITY,,,,,Y,1,43.186422,-87.962372,POINT (-87.962372 43.186422),26.0,55,079,050103,55079050103,1400000US55079050103,501.03,Census Tract 501.03,G5020,S,3442087.0,0.0,+43.1825936,-087.9680528,050103
LKHH73W,12/30/2011,17,MILWAUKEE,CUDAHY,C,32.0,N,32,COLLEGE AVE E,32,S PACKARD AVE, ,0,INJ,B,0,1,PED,ANGL,I,U STH,,,,,Y,1,42.9301048,-87.860974,POINT (-87.860974 42.9301048),243.0,55,079,180400,55079180400,1400000US55079180400,1804,Census Tract 1804,G5020,S,1667353.0,0.0,+42.9370899,-087.8563332,180400
C8L0ZFXHNB,3/4/2019,9,MILWAUKEE,CUDAHY,C,32.0,N,,E EDGERTON AVE,32,S LAKE DR,W,1,INJ,C,0,1,PED,NO,I,U CITY,,,,,Y,1,42.951912,-87.850187,POINT (-87.850187 42.951912),241.0,55,079,180200,55079180200,1400000US55079180200,1802,Census Tract 1802,G5020,S,1136517.0,0.0,+42.9546545,-087.8550699,180200
C8L0ZFXHNJ,5/23/2019,16,MILWAUKEE,CUDAHY,C,32.0,N,32,S LAKE DR,,PRIVATE PROPERTY,,0,INJ,A,0,1,PED,NO,I,U STH,,,,,Y,1,42.954849,-87.850113,POINT (-87.850113 42.954849),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
A317292,5/6/2010,7,MILWAUKEE,CUDAHY,C,32.0,N,32,S LAKE DR,,E SOMERS AVE,N,4,INJ,B,0,1,PED,NO,I,U STH,,,,,Y,1,42.9552324,-87.8500568,POINT (-87.8500568 42.9552324),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
LKN573P,6/6/2014,15,MILWAUKEE,CUDAHY,C,32.0,N,32,S LAKE DR,,E BARNARD AVE,N,1,INJ,B,0,1,PED,ANGL,N,U STH,,,,,Y,1,42.9574064,-87.8500734,POINT (-87.8500734 42.9574064),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
LKH0DXC,11/6/2013,10,MILWAUKEE,CUDAHY,C,32.0,N,32,S LAKE DR,,LAYTON AVE E, ,0,INJ,B,0,1,PED,HEAD,I,U STH,,,,,Y,1,42.959194,-87.8501622,POINT (-87.8501622 42.959194),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
LKH1W5L,7/4/2012,12,MILWAUKEE,CUDAHY,C,32.0,N,32,S LAKE DR,,E ARMOUR AVE,S,1,INJ,A,0,2,PED,NO,N,U STH,,,,,Y,1,42.9616393,-87.8502017,POINT (-87.8502017 42.9616393),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
LKHQM9L,1/4/2013,14,MILWAUKEE,CUDAHY,C,32.0,S,,E BARNARD AVE,,S PACKARD AVE, ,0,INJ,A,0,1,PED,ANGL,I,U CITY,,,,,Y,1,42.9503483,-87.8499912,POINT (-87.8499912 42.9503483),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
LL2N1J8,9/3/2015,15,MILWAUKEE,CUDAHY,C,794.0,E,794,S PENNSYLVANIA AVE,,E GRANGE AVE, ,0,INJ,C,0,1,PED,UNKN,I,U IH,,,,,Y,1,42.9445597,-87.8799077,POINT (-87.8799077 42.9445597),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
LKH0DR0,5/19/2011,15,MILWAUKEE,CUDAHY,C,794.0,E,794,S PENNSYLVANIA AVE,,E DALE AVE,N,2,INJ,B,0,1,PED,HEAD,N,U IH,,,,,Y,1,42.9410721,-87.8799491,POINT (-87.8799491 42.9410721),244.0,55,079,180500,55079180500,1400000US55079180500,1805,Census Tract 1805,G5020,S,3122817.0,0.0,+42.9372598,-087.8747122,180500
C8L09QKRCZ,11/29/2022,6,MILWAUKEE,CUDAHY,C,794.0,E,794,,,E NORSE AVE,S,7,INJ,C,0,1,PED,NO,N,U STH,,,,,Y,1,42.935569,-87.880011,POINT (-87.880011 42.935569),244.0,55,079,180500,55079180500,1400000US55079180500,1805,Census Tract 1805,G5020,S,3122817.0,0.0,+42.9372598,-087.8747122,180500
LKKHZ9P,4/3/2011,21,MILWAUKEE,CUDAHY,C,794.0,E,794,S PENNSYLVANIA AVE,,COLLEGE AVE E,N,6,INJ,A,0,1,PED,NO,N,U IH,,,,,Y,1,42.930845,-87.8802775,POINT (-87.8802775 42.930845),244.0,55,079,180500,55079180500,1400000US55079180500,1805,Census Tract 1805,G5020,S,3122817.0,0.0,+42.9372598,-087.8747122,180500
C8L0ZFXHPW,2/2/2020,18,MILWAUKEE,CUDAHY,C,794.0,W,794,,,E EDGERTON AVE,S,2,INJ,B,0,1,PED,NO,I,U STH,,,,,Y,1,42.951541,-87.879811,POINT (-87.879811 42.951541),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
C8L09QKRD5,1/23/2023,7,MILWAUKEE,CUDAHY,C,,,32,S LAKE DR,,S SOMERS AVE,N,1,INJ,B,0,1,PED,NO,I,U STH,,,,,Y,1,42.954854,-87.850113,POINT (-87.850113 42.954854),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
C8L09RSSHJ,5/21/2022,11,MILWAUKEE,CUDAHY,C,,,Y,LAYTON AVE E,,S HATELY AVE,E,4,INJ,C,0,1,,NO,N,U CITY,,,,,Y,1,42.959185,-87.851784,POINT (-87.851784 42.959185),241.0,55,079,180200,55079180200,1400000US55079180200,1802,Census Tract 1802,G5020,S,1136517.0,0.0,+42.9546545,-087.8550699,180200
C8L09RSSH3,10/25/2021,5,MILWAUKEE,CUDAHY,C,,,Y,LAYTON AVE E,,S PACKARD AVE,E,4,PD,,0,0,PED,NO,N,U CITY,,,,,Y,1,42.959137,-87.859206,POINT (-87.859206 42.959137),241.0,55,079,180200,55079180200,1400000US55079180200,1802,Census Tract 1802,G5020,S,1136517.0,0.0,+42.9546545,-087.8550699,180200
C8L12XVN2D,3/4/2019,12,MILWAUKEE,CUDAHY,C,,,Y,LAYTON AVE E,,S PACKARD AVE,,0,INJ,A,0,1,PED,NO,I,U CITY,,,,,Y,1,42.959134,-87.860086,POINT (-87.860086 42.959134),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
C8L0ZFXHL7,9/1/2017,21,MILWAUKEE,CUDAHY,C,,,Y,,,S PACKARD AVE,W,3,INJ,A,0,1,PED,NO,N,U CITY,,,,,Y,1,42.959125,-87.8608,POINT (-87.8608 42.959125),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
C8L12XVN04,4/28/2017,22,MILWAUKEE,CUDAHY,C,,,Y,,,S PACKARD AVE,,0,INJ,B,0,1,PED,NO,I,U CITY,,,,,Y,1,42.959129,-87.860161,POINT (-87.860161 42.959129),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
C8L0ZFXHKF,5/21/2017,11,MILWAUKEE,CUDAHY,C,,,Y,,,S WHITNALL AVE,W,8,INJ,C,0,1,OBNFX,NO,PL,U CITY,,,,,Y,1,42.959109,-87.877983,POINT (-87.877983 42.959109),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
C8L0CCZ7SF,5/22/2021,19,MILWAUKEE,CUDAHY,C,,,ZZ,COLLEGE AVE E,,15TH AVE,E,1,INJ,C,0,1,PED,ANGL,I,U CITY,,,,,Y,1,42.93002,-87.870113,POINT (-87.870113 42.93002),244.0,55,079,180500,55079180500,1400000US55079180500,1805,Census Tract 1805,G5020,S,3122817.0,0.0,+42.9372598,-087.8747122,180500
A490181,10/30/2010,21,MILWAUKEE,CUDAHY,C,,,,ALLEY,,E LAYTON AVE, ,0,INJ,C,0,1,PED,NO,N,U CITY,,,,,Y,1,42.959194,-87.8501622,POINT (-87.8501622 42.959194),279.0,55,079,180100,55079180100,1400000US55079180100,1801,Census Tract 1801,G5020,S,2602387.0,1884511.0,+42.9457649,-087.8469696,180100
LKH14WH,3/30/2011,10,MILWAUKEE,CUDAHY,C,,,,CTH Y,,S PACKARD AVE, ,0,INJ,A,0,1,PED,NO,I,U CITY,,,,,Y,1,42.9591275,-87.8601615,POINT (-87.8601615 42.9591275),242.0,55,079,180300,55079180300,1400000US55079180300,1803,Census Tract 1803,G5020,S,3835491.0,0.0,+42.9519009,-087.8700704,180300
C8L0ZLVN09,3/13/2017,13,MILWAUKEE,CUDAHY,C,,,,E BIRCHWOOD AVE,,S PACKARD AVE,E,3,INJ,A,0,1,PED,NO,N,U CITY,,,,,Y,1,42.939799,-87.85959,POINT (-87.85959 42.939799),243.0,55,079,180400,55079180400,1400000US55079180400,1804,Census Tract 1804,G5020,S,1667353.0,0.0,+42.9370899,-087.8563332,180400
8922000,4/24/2009,16,MILWAUKEE,CUDAHY,C,,,,E CARPENTER AVE,,S HATLEY AVE,W,7,INJ,B,0,1,PED,ANGL,N,U CITY,,,,,Y,1,42.9554745,-87.8540847,POINT (-87.8540847 42.9554745),241.0,55,079,180200,55079180200,1400000US55079180200,1802,Census Tract 1802,G5020,S,1136517.0,0.0,+42.9546545,-087.8550699,180200
LKN575V,5/25/2015,20,MILWAUKEE,CUDAHY,C,,,,E DALE AVE,,LAKE DR SERVICE DR,W,1,INJ,B,0,1,PED,NO,N,U CITY,,,,,Y,1,42.9414533,-87.8506233,POINT (-87.8506233 42.9414533),243.0,55,079,180400,55079180400,1400000US55079180400,1804,Census Tract 1804,G5020,S,1667353.0,0.0,+42.9370899,-087.8563332,180400
C8L09RSSHQ,8/28/2022,21,MILWAUKEE,CUDAHY,C,,,,E DONALD AVE,,S PENNSYLVANIA AVE SERVICE DR,E,0,INJ,B,0,1,PED,NO,N,U CITY,,,,,Y,1,42.933679,-87.87976,POINT (-87.87976 42.933679),244.0,55,079,180500,55079180500,1400000US55079180500,1805,Census Tract 1805,G5020,S,3122817.0,0.0,+42.9372598,-087.8747122,180500
